tag,surrogate,alpha,seed,epoch,train_loss,test_loss,test_acc,firing_rate,seconds,train_eval_loss,train_eval_acc
sweep_d4_lr5e-4,atan,2,1,1,0.505777,0.529603,0.837100,0.179495,1.358,nan,nan
sweep_d4_lr5e-4,atan,2,1,2,0.209674,0.430050,0.875900,0.162369,1.308,nan,nan
sweep_d4_lr5e-4,atan,2,1,3,0.137442,0.418494,0.878600,0.153739,1.307,nan,nan
sweep_d4_lr5e-4,atan,2,1,4,0.100402,0.413917,0.887700,0.145857,1.307,nan,nan
sweep_d4_lr5e-4,atan,2,2,1,0.516113,0.620239,0.812900,0.183294,1.332,nan,nan
sweep_d4_lr5e-4,atan,2,2,2,0.219242,0.462738,0.866000,0.159829,1.323,nan,nan
sweep_d4_lr5e-4,atan,2,2,3,0.143632,0.383959,0.892400,0.153281,1.326,nan,nan
sweep_d4_lr5e-4,atan,2,2,4,0.102042,0.409513,0.892300,0.146498,1.326,nan,nan
sweep_d4_lr1e-3,atan,0.5,1,1,0.526081,0.585401,0.822200,0.120104,1.344,nan,nan
sweep_d4_lr1e-3,atan,0.5,1,2,0.243360,0.488444,0.857100,0.121431,1.306,nan,nan
sweep_d4_lr1e-3,atan,0.5,1,3,0.166084,0.448882,0.875300,0.122207,1.319,nan,nan
sweep_d4_lr1e-3,atan,0.5,1,4,0.122760,0.425261,0.887700,0.124842,1.293,nan,nan
sweep_d4_lr1e-3,atan,0.5,2,1,0.523766,0.614810,0.819500,0.121325,1.322,nan,nan
sweep_d4_lr1e-3,atan,0.5,2,2,0.239338,0.483710,0.858000,0.120208,1.314,nan,nan
sweep_d4_lr1e-3,atan,0.5,2,3,0.169209,0.450623,0.875300,0.122944,1.309,nan,nan
sweep_d4_lr1e-3,atan,0.5,2,4,0.126245,0.453048,0.878700,0.124335,1.321,nan,nan
sweep_d4_lr1e-3,atan,1,1,1,0.472043,0.530177,0.837900,0.131829,1.372,nan,nan
sweep_d4_lr1e-3,atan,1,1,2,0.202720,0.457002,0.865800,0.133364,1.308,nan,nan
sweep_d4_lr1e-3,atan,1,1,3,0.137212,0.416649,0.884900,0.130356,1.306,nan,nan
sweep_d4_lr1e-3,atan,1,1,4,0.096527,0.431827,0.884500,0.131387,1.318,nan,nan
sweep_d4_lr1e-3,atan,1,2,1,0.478603,0.559633,0.836100,0.135257,1.328,nan,nan
sweep_d4_lr1e-3,atan,1,2,2,0.206120,0.438866,0.868600,0.128820,1.328,nan,nan
sweep_d4_lr1e-3,atan,1,2,3,0.135093,0.399508,0.893600,0.130577,1.336,nan,nan
