tag,arch,depth,width,params,seed,epoch,train_loss,test_loss,test_acc,seconds,train_eval_loss,train_eval_acc
sweep_mlp3w256_lr3e-4,mlp,3,256,335114,2,4,0.180368,0.442231,0.871100,1.053,nan,nan
sweep_mlp3w256_lr1e-3,mlp,3,256,335114,1,1,0.484454,0.521968,0.840400,1.222,nan,nan
sweep_mlp3w256_lr1e-3,mlp,3,256,335114,1,2,0.190435,0.436249,0.869000,0.912,nan,nan
sweep_mlp3w256_lr1e-3,mlp,3,256,335114,1,3,0.120981,0.406014,0.882700,0.733,nan,nan
sweep_mlp3w256_lr1e-3,mlp,3,256,335114,1,4,0.087759,0.405622,0.891000,0.603,nan,nan
sweep_mlp3w256_lr1e-3,mlp,3,256,335114,2,1,0.481862,0.513752,0.843600,0.780,nan,nan
sweep_mlp3w256_lr1e-3,mlp,3,256,335114,2,2,0.189866,0.421069,0.874800,0.834,nan,nan
sweep_mlp3w256_lr1e-3,mlp,3,256,335114,2,3,0.119039,0.382443,0.893900,1.054,nan,nan
sweep_mlp3w256_lr1e-3,mlp,3,256,335114,2,4,0.083538,0.370090,0.896600,1.077,nan,nan
sweep_mlp3w256_lr3e-3,mlp,3,256,335114,1,1,0.387995,0.476318,0.853600,1.111,nan,nan
sweep_mlp3w256_lr3e-3,mlp,3,256,335114,1,2,0.167297,0.396737,0.884700,0.835,nan,nan
sweep_mlp3w256_lr3e-3,mlp,3,256,335114,1,3,0.113876,0.361285,0.900800,0.892,nan,nan
sweep_mlp3w256_lr3e-3,mlp,3,256,335114,1,4,0.089402,0.404780,0.901200,0.845,nan,nan
sweep_mlp3w256_lr3e-3,mlp,3,256,335114,2,1,0.383513,0.452699,0.866100,0.836,nan,nan
sweep_mlp3w256_lr3e-3,mlp,3,256,335114,2,2,0.164658,0.410869,0.878300,0.902,nan,nan
sweep_mlp3w256_lr3e-3,mlp,3,256,335114,2,3,0.113840,0.408158,0.894000,1.103,nan,nan
sweep_mlp3w256_lr3e-3,mlp,3,256,335114,2,4,0.088197,0.394732,0.895800,1.064,nan,nan
sweep_mlp4w256_lr3e-4,mlp,4,256,400906,1,1,0.741773,0.767733,0.759400,1.216,nan,nan
